,jobTitle,company,location,salary,shift,workTime
149,Design Specialist,Wines 'Til Sold Out,"Hybrid work in Moorestown, NJ 08057","$40,000 - $50,000 a year",Full-time,"Monday to Friday
+1"
150,Field IT Technician,"CDK Global, Inc.","Newark, NJ",,,
151,Junior Database Administrator,EMSL,"Cinnaminson, NJ 08077",Full-time,Monday to Friday,
152,Mechatronic Engineer Entry level,"Plastomatic Valves, Inc.","Cedar Grove, NJ 07009","$65,000 a year",Full-time,
153,Global Tech Lead - Metalworking,Chemetall,"New Providence, NJ 07974",,,
154,Digital Designer,Gamesys US LLC,"Hybrid work in Jersey City, NJ 07302","$65,000 - $85,000 a year",Full-time,
155,IT Technical Support,Community Access Unlimited,New Jersey,,,
156,Wordpress Developer,Kosher.com,"Hybrid work in Bayonne, NJ 07002","$110,000 - $130,000 a year",Full-time,Monday to Friday
157,Node Developer,Wipro Limited,"Bloomfield, NJ",,,
158,Senior ServiceNow Developer/System Admin (Security Operations),Princeton University,"Remote in Princeton, NJ 08542",Full-time,No overtime,
159,IT - Network and Desktop Support - NJ,FELIX STORCH INC,"Edison, NJ 08817",,,
160,Systems Administrator II,Rutgers University,"Newark, NJ 07102 
(University Heights area)",Full-time,,
161,IT Project Group Manager,Citi,"Hybrid work in Jersey City, NJ 07310",,,
162,Database Administrator,Rutgers University,"New Brunswick, NJ 08854",Full-time,On call,
163,"Software Tester, CSS-Wx",Integrisys LLC,"Hybrid work in Egg Harbor Township, NJ",,,
164,Technical Business Analyst,Barclays,"Whippany, NJ 07981",,,
